TITLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase,Deliverable / Document,Site,Docs,Priority,Status,Notes / Actions,"Feb 24
▼NOW",Mar 1–15,Mar 16–31,Apr 1–15,Apr 16–30,May 1–15,May 16–31,Jun 1–15,"Jun 16–30
★COE",Jul 1–15,Jul 16–31,Aug 1–15,Aug 16–31,Sep 1–15,Sep 16–30,Oct 1–15,Oct 16–31,Nov 1–15,Nov 16–30,Dec 1–15,"Dec 16–31
★"
WS1,ATS Process Owner: meeting & alignment strategy,Aqil,1,P0,Not Started,▶ PARALLEL — runs alongside site doc creation. Not a blocker.  |  BLOCKER — gates all phase work,◀,▶,,,,,,,,,,,,,,,,,,,
WS1,Process Alignment Guide (ME ↔ ATS gates mapped),Aqil,1,P0,Not Started,▶ PARALLEL — runs alongside site doc creation. Not a blocker.,◀,▶,,,,,,,,,,,,,,,,,,,
WS1,ATS context added to all phase content (ongoing),Aqil,1,P1,Not Started,▶ PARALLEL rolling task.  |  Rolling task,◀,,,,,,,▶,,,,,,,,,,,,,
WS1,Quarterly ATS sync cadence established,Aqil,1,P1,Not Started,,,,,,,,◀,,,,,,,,,,,,,,
WS1,🎯 ATS Alignment complete + Google Site LIVE,Aqil,,P0,,Week of Mar 13,,,▲,,,,,,,,,,,,,,,,,,
WS2,Google Site infrastructure + navigation,Aqil,1,P0,Not Started,▶ PARALLEL — not blocking doc creation.,◀,▶,,,,,,,,,,,,,,,,,,,
WS2,Master 7-phase process diagram,Aqil,1,P0,Not Started,▶ PARALLEL — in progress.,◀,▶,,,,,,,,,,,,,,,,,,,
WS2,Gate criteria defined (all gates),Aqil,1,P0,Not Started,▶ PARALLEL — in progress.,◀,▶,,,,,,,,,,,,,,,,,,,
WS2,Process overview page + contribution guide,Aqil,1,P1,Not Started,,,,,,,◀,,▶,,,,,,,,,,,,,
WS2,Tracking script + dashboard deployed,Aqil,1,P1,Not Started,Auto-monitors Drive,,,,,,◀,,,▶,,,,,,,,,,,,
Ph0,Manufacturability Assessment Checklist,CMG,1,P1,Not Started,GO — genuine ME gap,◀,,,▶,,,,,,,,,,,,,,,,,
Ph0,Competitor Teardown Guide,CMG,1,P1,Not Started,GO — predicate device analysis method,◀,,,,▶,,,,,,,,,,,,,,,,
Ph0,Customer Specs Review Checklist,CMG,1,P1,Not Started,SLIM — ME supplement to ATS SOP-732-01,,,,◀,,▶,,,,,,,,,,,,,,,
Ph0,Feasibility → 1-page ME Checklist,CMG,1,P1,Not Started,SLIM — replaces 'Feasibility Study Process',,,,◀,,▶,,,,,,,,,,,,,,,
Ref,Standards & References page on ME COE site,CMG,1,P1,Not Started,"REF only — hyperlinks to ASME/ISO, no new docs",,,◀,,▶,,,,,,,,,,,,,,,,
Ph0,🎯 Phase 0 content complete — CMG,CMG,,P0,,~Jun 2026  |  lightest workload,,,,,,,▲,,,,,,,,,,,,,,
Ph1,Requirements Decomposition Guideline,CPG,1,P0,Draft,"✅ 4 wks in progress. Bar anchored to NOW.  |  GO — in progress, continue",●,▶,,,,,,,,,,,,,,,,,,,
Ph1,Mechanical Specification Sheet (template),CPG,1,P1,Not Started,"GO — torque, IP, loads format",,,◀,,,▶,,,,,,,,,,,,,,,
Ph1,Interface Definition Checklist,CPG,1,P1,Not Started,GO,,,◀,,,▶,,,,,,,,,,,,,,,
Ph1,Tolerance Strategy Guideline,CPG,1,P1,Not Started,GO — coordinate with Jaume (CSP) to avoid overlap with Stack-Up Guide,,,,,◀,,,▶,,,,,,,,,,,,,
Ph1,Concept Generation Methods Guideline,CPG,1,P1,Not Started,GO,,,,,◀,,,▶,,,,,,,,,,,,,
Ph1,Trade Study Template,CPG,1,P1,Not Started,GO,,,,,◀,,,▶,,,,,,,,,,,,,
Ph1,Material Selection Guideline,CPG,1,P1,Not Started,GO,,,,,,◀,,,▶,,,,,,,,,,,,
Ph1,3D Printing Best Practices Guideline,CPG,1,P1,Draft,GO — Ricardo (CSP) started; CPG to complete or receive handoff,,,,◀,,,▶,,,,,,,,,,,,,,
Ph1,POC Criteria Checklist,CPG,1,P1,Not Started,SLIM — ME supplement to ATS POC Exit gate only,,,,,,◀,,▶,,,,,,,,,,,,,
Ph1,Breadboard / Mockup Creation Process,CPG,1,P2,Not Started,"GO — P2 backlog, defer to Q4",,,,,,,,,,,,◀,,,,▶,,,,,
Ph1,🎯 Phase 1 content complete — CPG,CPG,,P0,,~Jun 2026,,,,,,,,,▲,,,,,,,,,,,,
Ph2,[2.1] Plastic Parts Design Guideline ★,CSP,1,P0,Draft,✅ 4 wks in progress.  |  GO ,●,,▶,,,,,,,,,,,,,,,,,,
Ph2,[2.1] Sheet Metal Design Guideline ★ ⚠️ NO OWNER,CSP,1,P0,Draft,✅ 4 wks in progress.  |  GO,●,,▶,,,,,,,,,,,,,,,,,,
Ph2,[2.1] Machining Design Guideline,CSP,1,P1,Draft,✅ 4 wks in progress.  |  GO,●,,▶,,,,,,,,,,,,,,,,,,
Ph2,[2.1] Light Pipes Design Guideline,CSP,1,P2,Draft,"GO — Ricardo, P2 backlog",,,,,,,,,◀,,,,,▶,,,,,,,
Ph2,[2.1] Die Casting + Rubber/Elastomer Guidelines (P2),CSP,2,P2,Not Started,"GO — P2 backlog, Q3–Q4",,,,,,,,,,,◀,,,,,▶,,,,,
Ph2,[2.1] CAD Modeling Standards  (absorbs: Master Model + CAD Layout),CSP,1,P0,Draft,✅ 4 wks in progress.  |  GO — Pablo/Antonio; consolidate 3 docs → 1,◀,,,,▶,,,,,,,,,,,,,,,,
Ph2,[2.1] SolidWorks Configuration Standards,CSP,1,P1,Draft,GO — Antonio; can be chapter inside CAD Standards,,,,,,◀,,,▶,,,,,,,,,,,,
Ph2,[2.1] File Naming & Structure Standard,CSP,1,P1,Not Started,GO — Antonio,,,,,,◀,,,▶,,,,,,,,,,,,
Ph2,[2.1] Assembly Design Checklist,CSP,1,P1,Not Started,GO — Marcos,,,,,,,◀,,,▶,,,,,,,,,,,
Ph2,[2.1] ICD (Interface Control Document) Template,CSP,1,P1,Not Started,GO,,,,,,,◀,,,▶,,,,,,,,,,,
Ph2,[2.2] FEA Best Practices Guideline,CSP,1,P1,Not Started,GO — assign owner urgently,,,,,,◀,,,,▶,,,,,,,,,,,
Ph2,[2.2] CFD Thermal & Fluid Dynamics Guideline,CSP,1,P2,Draft,GO — Marcos,,,,,,,,,◀,,,,,▶,,,,,,,
Ph2,[2.2] Tolerance Stack-Up Analysis Guideline + Template ★,CSP,2,P0,Not Started,⚠️ LATE — Not Started after 4 wks. Jaume must start immediately.  |  GO — Jaume; CONSOLIDATES #16+#41+#97+#48 → 2 docs,◀,,,,,,▶,,,,,,,,,,,,,,
Ph2,[2.2] Vibration / Drop / Shock Analysis Guidelines (P2),CSP,3,P2,Not Started,GO — P2 backlog,,,,,,,,,,,,◀,,,,,▶,,,,
Ph2,[2.2] Simulation Process + Checklist + Report Template (P2),CSP,3,P2,Not Started,GO — Marcos; P2 backlog,,,,,,,,,,,,◀,,,,,▶,,,,
Ph2,[2.3] DFM Guideline ★,CSP,1,P0,Draft,✅ 4 wks in progress.  |  GO — Marcos; core COE IP,◀,,,,▶,,,,,,,,,,,,,,,,
Ph2,[2.3] DFA Analysis Guideline ★,CSP,1,P0,In Review,✅ In Review — target approval Mar 31.  |  GO — Pablo; almost done,◀,,,,▶,,,,,,,,,,,,,,,,
Ph2,[2.3] DFM Review Checklist ★,CSP,1,P0*,Not Started,DEDUP V4: Merged as §Checklist section inside [2.3] DFM Guideline. No separate doc — 1 approval covers both. Reduces P0 count −1.,,,,,,,,,,,,,,,,,,,,,
Ph2,[2.3] DFA Review Checklist + Template ★,CSP,2,P0,In Review,"✅ In Review. Template embedded in Guideline — 1 approval, not 2.  |  GO — Pablo; continue",◀,,,▶,,,,,,,,,,,,,,,,,
Ph2,[2.3] Prototype Request Form,CSP,1,P1,Not Started,GO — spec form for SLA/CNC vendors,,,,,,,◀,,▶,,,,,,,,,,,,
Ph2,[2.4] PDR Exit Criteria Checklist,CSP,1,P1,Draft,DEDUP P0→P1: ATS SOP-732-01 PDR gate already covers exit criteria. ME supplement not needed for Jun 30 COE milestone. Pushed post-sprint.,,,,,,◀,,,▶,,,,,,,,,,,,
Ph2,[2.4] PDR Presentation Deck Template,CSP,1,P1,Not Started,GO — standard ME slide structure,,,,,,,◀,,,▶,,,,,,,,,,,
Ph2,🎯 Phase 2 P0 docs complete — CSP,CSP,,P0,,~Jun 2026  (P2 backlog continues Q3–Q4),,,,,,,,,▲,,,,,,,,,,,,
Ph3,[3.1] ME Drawing Standards Manual ★  (consolidates GD&T + Drawing Stds + Drafting Manual),CSP,1,P0,Not Started,"⚠️ LATE — Not Started after 4 wks. Celia: must start this week. Draft needed by Apr 15 to review before Jun 30.  |  GO — Celia; P0 CRITICAL, not started — ESCALATE",◀,,,,,,▶,,,,,,,,,,,,,,
Ph3,[3.1] SolidWorks Notes & Title Blocks Standard,CSP,1,P1,In Review,GO — Jaume; continue,,,,,◀,,,▶,,,,,,,,,,,,,
Ph3,[3.1] Material Specification Guideline,CSP,1,P1,Not Started,GO,,,,,,,,◀,,,▶,,,,,,,,,,
Ph3,[3.1] Surface Finish Specification Guideline,CSP,1,P1,Not Started,GO,,,,,,,,◀,,,▶,,,,,,,,,,
Ph3,[3.1] SW Sheet Format Template ★,CSP,1,P0,In Review,✅ In Review — close by Mar 15.  |  GO — Antonio; continue,◀,,,▶,,,,,,,,,,,,,,,,,
Ph3,[3.1] SW Properties COE/ARAS Template,CSP,1,P1,In Review,GO — Antonio; continue,,,,,◀,,,▶,,,,,,,,,,,,,
Ph3,[3.1] Drawing Review Checklist ★,CTH,1,P0,Draft,✅ 4 wks in progress.  |  GO — Sirisak; continue,●,,▶,,,,,,,,,,,,,,,,,,
Ph3,[3.2] BOM Generation Guide  (SW/ARAS how-to only),CSP,1,P0,Draft,"✅ 4 wks in progress.  |  SLIM — Jaime; slim to ARAS how-to, not process",◀,,,▶,,,,,,,,,,,,,,,,,
Ph3,[3.2] ATS Engineering Part Number Scheme (ARAS),CSP,1,P1,Draft,GO — David; continue,,,,,,◀,,,▶,,,,,,,,,,,,
Ph3,[3.2] BOM Checklist + BOM Template,CSP,2,P0,Draft,✅ DEDUP: BOM Template embedded as appendix in BOM Guide — 1 approval. In progress.  |  GO — Jaime; continue,◀,,,▶,,,,,,,,,,,,,,,,,
Ph3,[3.3] Metrology & Inspection Guide,CSP,1,P1,Not Started,GO — how ME reads metrology/GD&T reports,,,,,,,,,,,,,,,,,,,,,
Ph3,[3.3] Dimensional Inspection Checklist + GD&T Validation Checklist,CSP,2,P1,Not Started,GO,,,,,,,,◀,,,▶,,,,,,,,,,
Ph3,[3.4] Prototype Build Instructions Template  (EVT/DVT),CSP,1,P1,Not Started,GO — practical build guide; replaces WI/SOP/traveler templates,,,,,,,◀,,,▶,,,,,,,,,,,
Ph3,[3.4] Lessons Learned Template,CSP,1,P1,Not Started,GO,,,,,,,◀,,,▶,,,,,,,,,,,
Ph3,[3.5] Mechanical EVT Test Case Library  (replaces EVT Protocol + Test Plan Forms),CSP,1,P0,Draft,✅ 4 wks in progress.  |  SLIM — Celia/JM; mechanical test cases to populate ATS SOP-736-01 form,◀,,,,▶,,,,,,,,,,,,,,,,
Ph3,[3.5] Design Margin Assessment Guideline,CSP,1,P1,Not Started,GO,,,,,,,,◀,,,▶,,,,,,,,,,
Ph3,[3.6] ECO Planning → merge into CTH ARAS ECO Guide,CSP,,P0,Not Started,DEDUP V4: ECO Planning content absorbed into CTH [4A.1] ARAS ECO Workflow Guide. Row kept for traceability — no separate deliverable.,,,,,,,,,,,,,,,,,,,,,
Ph3,🎯 Phase 3 content complete — CSP,CSP,,P0,,~Jun 2026,,,,,,,,,▲,,,,,,,,,,,,
Ph4A,[4A.1] ARAS ECO Workflow Guide ★  (consolidates 5 ECO docs → 1),CTH,1,P0,In Review,✅ In Review — best CTH progress. Approve by Mar 31.  |  SLIM — Celia/Jaume; ARAS workflow steps only; includes ECO Planning from Ph3,◀,,▶,,,,,,,,,,,,,,,,,,
Ph4A,[4A.2] Fit / Assembly Issue Resolution Guideline,CTH,1,P1,Not Started,GO — CTH,,,,,,,,◀,,,▶,,,,,,,,,,
Ph4A,[4A.3] SW Drawing Release Checklist  (replaces Final Drawing Release Process),CTH,1,P1,Not Started,SLIM — what ME verifies before ARAS release click,,,,,,,,◀,,▶,,,,,,,,,,,
Ph4A,[4A.4] FEA Re-validation Checklist  (replaces Analysis Update Process),CTH,1,P1,Not Started,GO — CTH: Chonticha,,,,,,,,◀,,,▶,,,,,,,,,,
Ph4A,[4A.5] Common EVT Mechanical Failure Mode Reference Card,CTH,1,P1,Not Started,GO — inputs to ATS FMEA form; replaces 'dFMEA Update Process',,,,,,,,◀,,▶,,,,,,,,,,,
Ph4B,[4B.1] Design Freeze Checklist ★,CTH,1,P0,Not Started,"⚠️ LATE — Not Started after 4 wks. Short doc (~1 pg). Assign CTH lead, close by Mar 31.  |  GO — genuine gap; what ME must have ready before freeze",◀,,▶,,,,,,,,,,,,,,,,,,
Ph4B,[4B.2] Mechanical Reliability & Environmental Test Case Library,CTH,1,P0,Not Started,⚠️ LATE — Not Started after 4 wks. Coordinate with Test Dev. Target: Apr 30.  |  GO — CONSOLIDATES: EVT Protocol + Reliability + Environmental + DVP&R → 1 doc,◀,,,▶,,,,,,,,,,,,,,,,,
Ph4B,[4B.2] Injection Mold Design Review Checklist,CTH,1,P1,Not Started,GO — CTH: Sirisak,,,,,◀,,,,▶,,,,,,,,,,,,
Ph4B,[4B.2] Texture & Finish Specification Guideline,CTH,1,P1,Not Started,GO — CTH: Tithiwat (VDI / MT mold textures),,,,,◀,,,,▶,,,,,,,,,,,,
Ph4B,[4B.2] Tooling Strategy Guideline,CTH,1,P1,Not Started,GO — soft vs hard tooling NRE decisions,,,,,,◀,,,,▶,,,,,,,,,,,
Ph4B,[4B.3] Production Component Verification → Critical Dims Checklist (SLIM),CTH,1,P1,Not Started,SLIM — what ME checks on incoming production parts,,,,,,◀,,,▶,,,,,,,,,,,,
Ph4B,[4B.5] CDR Checklist  (ME supplement),CTH,1,P1,Not Started,SLIM — CTH: Sukiam; mechanical readiness for ATS CDR gate,,,,,◀,,,,▶,,,,,,,,,,,,
Ph4B,[4B.5] TDP Index → ARAS TDP Checklist (SLIM),CTH,1,P1,Not Started,SLIM — mechanical design outputs to verify in ARAS,,,,,,◀,,,▶,,,,,,,,,,,,
Ph4B,[4B.5] Regression Analysis Guideline (P2 backlog),CTH,1,P2,Not Started,GO — P2 defer to Q4,,,,,,,,,,,◀,,,,,▶,,,,,
Ph4B,[4B.2] Stamping Die Review Checklist (P2 backlog),CTH,1,P2,Not Started,GO — CTH: Sirisak; P2 defer to Q4,,,,,,,,,,,◀,,,,,▶,,,,,
Ph4,🎯 Phase 4 content complete — CTH,CTH,,P0,,~Sep 2026,,,,,,,,,,,,,,▲,,,,,,,
Ph5,[5.1] Tool Runoff Event Checklist,CTH,1,P0,Not Started,⚠️ LATE — Not Started after 4 wks. Short checklist. Close by Mar 31.  |  GO — what to verify at supplier tool runoff,◀,,,▶,,,,,,,,,,,,,,,,,
Ph5,[5.1] Critical Dimensions Verification Checklist,CTH,1,P0,Not Started,⚠️ LATE — Not Started after 4 wks. Short checklist. Close by Mar 31.  |  GO,◀,,,▶,,,,,,,,,,,,,,,,,
Ph5,[5.1] First Shots Inspection Checklist  (replaces First Shots Process),CTH,1,P1,Not Started,SLIM — ME engineer field role only,,,,,,,,◀,,,▶,,,,,,,,,,
Ph5,[5.3] PPAP Documentation Guideline,CTH,1,P0,Draft,✅ 4 wks in progress.  |  GO — Celia; continue,◀,,,▶,,,,,,,,,,,,,,,,,
Ph5,[5.3] ME Engineer PVT Support Guide,CTH,1,P1,Not Started,GO — practical field guide for ME during pilot run,,,,,,,,◀,,,▶,,,,,,,,,,
Ph5,[5.3] Pilot Run Support Checklist,CTH,1,P1,Not Started,GO,,,,,,,,◀,,,▶,,,,,,,,,,
Ph5,🎯 Phase 5 content complete — CTH,CTH,,P0,,~Oct 2026,,,,,,,,,,,,,,,,▲,,,,,
Ph6,[6.1] Product NPI Support Process,CPG,1,P1,Not Started,GO — ME role during manufacturing NPI,,,,,,◀,,,,▶,,,,,,,,,,,
Ph6,[6.1] Engineering Support Request Form,CPG,1,P1,Not Started,GO — standard form for production → ME requests,,,,,◀,,,▶,,,,,,,,,,,,,
Ph6,[6.3] Cost Reduction (VAVE) Guideline,CPG,1,P1,Not Started,GO — value analysis methodology,,,,,,,◀,,,,▶,,,,,,,,,,
Ph6,[6.3] ME 2nd Source Mechanical Evaluation Checklist,CPG,1,P1,Completed,GO — Jaume; mechanical equivalence criteria only,,,,,◀,,,,▶,,,,,,,,,,,,
Ph6,[6.1] ME Change Guide: NCR vs ECO vs Deviation  (1-page),CPG,1,P1,Not Started,at risk,,,,,◀,,,▶,,,,,,,,,,,,,
Ph6,[6.3] Engineering Change Mgmt Process  (Onur draft — pick ONE home here),CPG,1,P0,Draft,DEDUP: Feeds CTH [4A.1] ARAS ECO Workflow Guide (canonical). Onur draft content merges in.  |  SLIM → ARAS ECO Workflow Guide (CTH Ph4A) is the canonical doc,◀,,,,▶,,,,,,,,,,,,,,,,
Ph6,🎯 Phase 6 content complete — CPG,CPG,,P1,,~Nov 2026,,,,,,,,,,,,,,,,,,▲,,,
H,Gap analysis: Penang (CPG) vs COE baseline,CPG,1,P0,Not Started,Start Jul 1 — what's missing at CPG,,,,,,,,,,◀,,▶,,,,,,,,,
H,Gap analysis: Maple Grove (CMG) vs COE baseline,CMG,1,P0,Not Started,Start Jul 1 — what's missing at CMG,,,,,,,,,,◀,,▶,,,,,,,,,
H,CPG site-specific process supplements,CPG,1,P0,Not Started,Local adaptations only,,,,,,,,,,,◀,,,,▶,,,,,,
H,CMG site-specific process supplements,CMG,1,P0,Not Started,Local adaptations only,,,,,,,,,,,◀,,,,▶,,,,,,
H,CSP + CTH cross-site review & sign-off,CSP,1,P0,Not Started,Spain + Thailand validate each other's docs,,,,,,,,,,,,,◀,,,▶,,,,,
H,Penang + MG adoption training rollout,CPG,1,P0,Not Started,Onboarding engineers to full COE,,,,,,,,,,,,,,,◀,,,,▶,,
H,All 4 sites: final review + process sign-off,ALL,1,P0,Not Started,,,,,,,,,,,,,,,,,,,◀,,▶,
